"CO2","Country of birth/nationality","VAR","Variable","GEN","Gender","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"ESP","Spain","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",135,,
"LKA","Sri Lanka","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",2978,,
"SDN","Sudan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3739,,
"SUR","Suriname","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"SWZ","Swaziland","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3,,
"SWE","Sweden","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",399,,
"CHE","Switzerland","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",266,,
"SYR","Syria","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",245,,
"TWN","Chinese Taipei","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1215,,
"TJK","Tajikistan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3,,
"TZA","Tanzania","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",33,,
"THA","Thailand","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1706,,
"TLS","Timor-Leste","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",114,,
"TGO","Togo","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",7,,
"TON","Tonga","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",167,,
"TTO","Trinidad and Tobago","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",19,,
"TUN","Tunisia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4,,
"TUR","Turkey","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",707,,
"TKM","Turkmenistan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",2,,
"TUV","Tuvalu","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4,,
"UGA","Uganda","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",45,,
"UKR","Ukraine","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",366,,
"ARE","United Arab Emirates","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",6,,
"GBR","United Kingdom","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",26197,,
"USA","United States","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3004,,
"URY","Uruguay","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",59,,
"UZB","Uzbekistan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",60,,
"VUT","Vanuatu","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",22,,
"VEN","Venezuela","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",153,,
"VNM","Viet Nam","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",2510,,
"YEM","Yemen","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",10,,
"ZMB","Zambia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",61,,
"ZWE","Zimbabwe","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1241,,
"TOT","Total","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",161734,,
"NS","Not stated","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",281,,
"YYY","Stateless","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3971,,
